transport_infrastructure,country,nuts_2,year,value,unit
motorways,DE,DEG0,2009,498,KM
motorways,DK,DK01,2009,157 d,KM
motorways,DK,DK02,2009,260 d,KM
motorways,DK,DK03,2009,329 d,KM
motorways,DK,DK04,2009,197 d,KM
motorways,DK,DK05,2009,187 d,KM
motorways,EE,EE00,2009,100,KM
motorways,ES,ES11,2009,925,KM
motorways,ES,ES12,2009,394,KM
motorways,ES,ES13,2009,218,KM
motorways,ES,ES21,2009,529,KM
motorways,ES,ES22,2009,348,KM
motorways,ES,ES23,2009,159,KM
motorways,ES,ES24,2009,676,KM
motorways,ES,ES30,2009,760,KM
motorways,ES,ES41,2009,2158,KM
motorways,ES,ES42,2009,1636,KM
motorways,ES,ES43,2009,651,KM
motorways,ES,ES51,2009,1271,KM
motorways,ES,ES52,2009,1091,KM
motorways,ES,ES53,2009,94,KM
motorways,ES,ES61,2009,2379,KM
motorways,ES,ES62,2009,517,KM
motorways,ES,ES63,2009,0,KM
motorways,ES,ES64,2009,0,KM
motorways,ES,ES70,2009,217,KM
motorways,FI,FI19,2009,114,KM
motorways,FI,FI1B,2009,281,KM
motorways,FI,FI1C,2009,271,KM
motorways,FI,FI1D,2009,98,KM
motorways,FI,FI20,2009,0,KM
motorways,FR,FR10,2009,605,KM
motorways,FR,FRB0,2009,983,KM
motorways,FR,FRC1,2009,685,KM
motorways,FR,FRC2,2009,218,KM
motorways,FR,FRD1,2009,255,KM
motorways,FR,FRD2,2009,427,KM
motorways,FR,FRE1,2009,627,KM
motorways,FR,FRE2,2009,550,KM
motorways,FR,FRF1,2009,301,KM
motorways,FR,FRF2,2009,503,KM
motorways,FR,FRF3,2009,462,KM
motorways,FR,FRG0,2009,745,KM
motorways,FR,FRH0,2009,50,KM
motorways,FR,FRI1,2009,635,KM
motorways,FR,FRI2,2009,274,KM
motorways,FR,FRI3,2009,300,KM
motorways,FR,FRJ1,2009,546,KM
motorways,FR,FRJ2,2009,652,KM
motorways,FR,FRK1,2009,380,KM
motorways,FR,FRK2,2009,1211,KM
motorways,FR,FRL0,2009,754,KM
